# Science & Nature — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Nothing here is a live figure. Records fall and instruments improve, and a
# quiz that quotes the tallest, fastest or newest anything is a quiz that
# goes wrong quietly. Constants, structures and settled findings only.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | science
! name    | Science & Nature
! icon    | leaf
! tint    | 0.34 0.65 0.42
! rank    | 2


# --- The human body ---

E | How many bones are in an adult human body? | 206 | 186 | 226 | 306
M | What do we call the coral structures built by tiny animals? | Coral reefs | Atolls only | Sea gardens | Kelp beds
M | Which zone of the ocean receives enough light for photosynthesis? | The sunlight zone | The twilight zone | The midnight zone | The abyss
M | What do we call water that has little or no salt? | Fresh water | Brackish water | Brine | Hard water
M | Roughly what share of Earth's water is fresh? | About three percent | About thirty percent | About ten percent | About half
M | Which state of water is less dense than its liquid form? | Ice | Steam | Brine | Vapor at depth
H | What do we call the mixing zone where a river meets the sea? | An estuary | A delta | A lagoon | A fjord
H | Which large forests of algae grow in cold coastal waters? | Kelp forests | Mangroves | Seagrass meadows | Coral gardens
H | Which layer of the ocean shows a sharp temperature drop with depth? | The thermocline | The halocline | The pycnocline | The euphotic zone
H | What do we call the process by which oceans absorb carbon dioxide and grow more acidic? | Ocean acidification | Eutrophication | Desalination | Stratification
H | Which trees grow in salt water along tropical coasts? | Mangroves | Willows | Cypresses | Baobabs
H | What do we call an underwater mountain that does not reach the surface? | A seamount | An atoll | A guyot ridge | A shelf break
H | Which ridge marks where new ocean floor is created? | The mid-ocean ridge | The continental shelf | The abyssal plain | The trench wall
H | Which process removes salt to make seawater drinkable? | Desalination | Filtration | Distillation only | Chlorination

# --- The sky ---

E | Which clouds are tall and bring thunderstorms? | Cumulonimbus | Cirrus | Stratus | Altocumulus
E | What causes thunder? | Rapidly expanding air heated by lightning | Clouds colliding | Rain hitting the ground | Wind in the trees
E | Which wispy clouds form highest in the sky? | Cirrus | Stratus | Cumulus | Nimbostratus
M | What do we call frozen rain that falls as pellets? | Sleet | Hail | Snow | Graupel
M | What are the balls of ice thrown up and down inside a storm cloud? | Hail | Sleet | Snow pellets | Frost
M | Which instrument measures rainfall? | A rain gauge | A barometer | A hygrometer | An anemometer
M | What do we call the boundary between two air masses? | A front | A ridge | A trough | An isobar
M | Which lines on a weather map join points of equal pressure? | Isobars | Isotherms | Contours | Meridians
M | What do we call the layer of gases held around Earth by gravity? | The atmosphere | The biosphere | The hydrosphere | The lithosphere
H | Which cloud type forms a low, flat, grey sheet? | Stratus | Cirrus | Cumulus | Cumulonimbus
H | Which effect deflects winds because the Earth rotates? | The Coriolis effect | The Doppler effect | The Venturi effect | The Bernoulli effect
H | Which winds blow steadily toward the Equator from the east? | The trade winds | The westerlies | The polar easterlies | The jet stream
H | Which fast, high river of air steers storms across America? | The jet stream | The Gulf Stream | The trade winds | The monsoon
H | What do we call the temperature at which air becomes saturated? | The dew point | The freezing point | The lapse rate | The flash point
H | Which gas layer high above the ground blocks much ultraviolet light? | The ozone layer | The ionosphere | The mesosphere | The exosphere
H | What do we call a spinning column of air over water? | A waterspout | A tornado | A dust devil | A microburst

# --- Health and medicine ---

E | Which vitamin do we get most from citrus fruit? | Vitamin C | Vitamin D | Vitamin B12 | Vitamin K
E | Which mineral builds strong bones and teeth? | Calcium | Iron | Zinc | Sodium
E | Which food group is the body's main source of quick energy? | Carbohydrates | Fats | Proteins | Vitamins
M | Which mineral does hemoglobin need to carry oxygen? | Iron | Calcium | Magnesium | Zinc
M | Which vitamin deficiency causes scurvy? | Vitamin C | Vitamin A | Vitamin D | Vitamin B1
M | Which vitamin deficiency causes rickets in children? | Vitamin D | Vitamin C | Vitamin E | Vitamin B12
M | What do we call medicines that kill or stop bacteria? | Antibiotics | Antivirals | Analgesics | Antihistamines
M | Do antibiotics work against viruses? | No, only against bacteria | Yes, against both | Only against strong viruses | Only in children
M | Which organ is affected by hepatitis? | The liver | The lungs | The kidneys | The heart
M | Which disease is caused by too little insulin activity? | Diabetes | Anemia | Asthma | Arthritis
H | Which blood cells help clotting? | Platelets | Red blood cells | White blood cells | Plasma cells
H | Which imaging technique uses magnetic fields and radio waves? | MRI | X-ray | Ultrasound | CT
H | Which imaging technique uses sound waves to see inside the body? | Ultrasound | MRI | X-ray | PET
H | Which measurement compares weight to height in adults? | Body mass index | Basal metabolic rate | Resting heart rate | Blood pressure
H | What do the two numbers of a blood pressure reading measure? | Systolic and diastolic pressure | Pulse and pressure | Volume and rate | Upper and lower pulse
H | Which system defends the body against infection? | The immune system | The lymphatic system alone | The endocrine system | The digestive system
H | Which organ stores bile made by the liver? | The gallbladder | The pancreas | The spleen | The appendix
H | Which part of the digestive tract absorbs most nutrients? | The small intestine | The stomach | The large intestine | The esophagus

# --- Materials and more elements ---

E | Which metal is liquid at room temperature? | Mercury | Lead | Tin | Zinc
E | Which gas fills party balloons that float? | Helium | Hydrogen | Oxygen | Neon
E | Which metal is the best everyday conductor of electricity? | Silver | Iron | Lead | Tin
M | Which alloy is made of copper and tin? | Bronze | Brass | Steel | Pewter
M | Which alloy is made of copper and zinc? | Brass | Bronze | Steel | Nickel silver
M | Which alloy is made of iron and carbon? | Steel | Brass | Bronze | Solder
M | Which element is used in pencil leads? | Carbon | Lead | Zinc | Graphite ore only
M | Which gas gives soda its fizz? | Carbon dioxide | Oxygen | Nitrogen | Helium
M | Which element do nuclear reactors most often use as fuel? | Uranium | Plutonium | Thorium | Radium
H | Which two elements are named after Marie Curie's homeland and herself? | Polonium and curium | Radium and francium | Curium and radium | Polonium and radium
H | Which element has the highest melting point? | Tungsten | Iron | Platinum | Titanium
H | Which noble gas glows orange-red in a discharge tube? | Neon | Argon | Krypton | Xenon
H | Which element makes up almost all of a diamond? | Carbon | Silicon | Boron | Quartz
H | Which acid is used in car batteries? | Sulfuric acid | Hydrochloric acid | Nitric acid | Acetic acid
H | Which substance has the chemical formula CH4? | Methane | Ethane | Propane | Butane
H | Which everyday material is made mostly of silicon dioxide? | Glass | Plastic | Rubber | Ceramic clay
H | Which process joins small molecules into long chains? | Polymerization | Distillation | Oxidation | Neutralization
H | Which metal is added to iron to make it stainless? | Chromium | Nickel only | Zinc | Manganese

# --- A last handful of creatures ---

E | Which animal is known for changing color to match its surroundings? | The chameleon | The gecko | The iguana | The skink
E | Which insect makes honey? | The honeybee | The wasp | The hornet | The bumblebee only
E | Which bird cannot fly but swims very well? | The penguin | The ostrich | The kiwi | The rhea
E | Which animal has the longest neck? | The giraffe | The camel | The ostrich | The llama
M | Which animal is the largest big cat? | The tiger | The lion | The jaguar | The leopard
M | Which shark must keep moving to breathe? | The great white | The nurse shark | The wobbegong | The angel shark
M | Which mammal has the strongest bite force? | The hippopotamus | The lion | The grizzly bear | The wolf
M | Which animal sleeps standing up and can lock its knees? | The horse | The cow | The elephant | The camel
M | Which creature can regrow lost arms? | The starfish | The crab | The jellyfish | The clam
M | Which amphibian can regrow limbs throughout its life? | The axolotl | The bullfrog | The toad | The newt only
H | Which bird migrates farthest each year? | The arctic tern | The bar-tailed godwit | The albatross | The swallow
H | Which mammal lives at the greatest depth? | The sperm whale | The elephant seal | The narwhal | The beaked whale
H | Which animal has the largest eyes of any creature? | The colossal squid | The blue whale | The ostrich | The giant octopus
H | Which insect order includes butterflies and moths? | Lepidoptera | Coleoptera | Odonata | Orthoptera
H | Which term describes an animal with a backbone? | Vertebrate | Invertebrate | Arthropod | Mollusk
H | Which group of animals includes crabs, spiders and insects? | Arthropods | Mollusks | Annelids | Echinoderms

E | What do bees turn into honey? | Nectar | Sap | Pollen | Dew
E | How many legs does a crab have? | Ten | Eight | Six | Twelve
E | Which gas do we breathe out more of than we breathe in? | Carbon dioxide | Oxygen | Nitrogen | Argon
E | What do we call animals that are active at night? | Nocturnal | Diurnal | Migratory | Dormant
