# Arts & Literature — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Books, painting, sculpture, concert music, the stage and the old myths.
# Movies, television and popular song live in Screen & Music, and nothing
# here trespasses on them.
#
# One trap peculiar to this theme: a title carrying a question mark would
# give the line two, and a prompt carries exactly one. Such titles are
# simply not asked about.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | arts
! name    | Arts & Literature
! icon    | book
! tint    | 0.62 0.45 0.34
! rank    | 3


# --- American novels ---

E | Who wrote The Adventures of Huckleberry Finn? | Mark Twain | Herman Melville | Jack London | Bret Harte
H | Which Greek maiden's return from the underworld explains the seasons? | Persephone | Eurydice | Ariadne | Antigone
H | Who was the Greek god of the forge and fire? | Hephaestus | Ares | Apollo | Dionysus
H | Who was the Roman god of war? | Mars | Jupiter | Vulcan | Mercury
H | Which Greek titan was condemned to hold up the sky? | Atlas | Prometheus | Cronus | Oceanus
H | Which titan gave fire to humankind and was punished for it? | Prometheus | Atlas | Epimetheus | Hyperion
H | Which musician charmed the underworld to reclaim his wife? | Orpheus | Apollo | Amphion | Arion
H | Which Egyptian god had the head of a jackal? | Anubis | Horus | Ra | Thoth
H | Which Egyptian god was the falcon-headed sky god? | Horus | Anubis | Set | Osiris

# --- More books and authors ---

E | Who wrote The Hobbit? | J. R. R. Tolkien | C. S. Lewis | George MacDonald | Lloyd Alexander
E | Which diary was kept by a girl hiding in Amsterdam? | The Diary of a Young Girl | Night | The Hiding Place | Number the Stars
E | Which novel features a whale hunted by Captain Ahab? | Moby-Dick | The Old Man and the Sea | Billy Budd | Typee
E | Who wrote The Adventures of Tom Sawyer and lived in Missouri? | Mark Twain | Bret Harte | Ambrose Bierce | Joel Harris
E | What was Mark Twain's real name? | Samuel Clemens | Samuel Langhorne | Josiah Clemens | Thomas Sawyer
M | Which novel features the mansion of Manderley and an unnamed narrator? | Rebecca | Jane Eyre | Wuthering Heights | The Turn of the Screw
M | Which Dickens novel begins with the best of times and the worst of times? | A Tale of Two Cities | Great Expectations | Bleak House | Hard Times
M | Which Dickens novel features the convict Magwitch and Miss Havisham? | Great Expectations | Oliver Twist | David Copperfield | Nicholas Nickleby
M | Which novel features Elizabeth Bennet and Mr. Darcy? | Pride and Prejudice | Sense and Sensibility | Emma | Persuasion
M | Which Russian novel follows Pierre, Natasha and Andrei through 1812? | War and Peace | Anna Karenina | Fathers and Sons | Doctor Zhivago
M | Which detective lives at 221B Baker Street? | Sherlock Holmes | Hercule Poirot | Lord Peter Wimsey | Father Brown
M | Which Belgian detective did Agatha Christie create? | Hercule Poirot | Sherlock Holmes | Inspector Maigret | Nero Wolfe
M | Which elderly village sleuth did Agatha Christie create? | Miss Marple | Miss Silver | Mrs. Bradley | Miss Climpson
M | Who wrote The Handmaid's Tale? | Margaret Atwood | Doris Lessing | Ursula Le Guin | Marge Piercy
M | Who wrote The Hitchhiker's Guide to the Galaxy? | Douglas Adams | Terry Pratchett | Neil Gaiman | Iain Banks
M | Who wrote The Old Curiosity Shop and Bleak House? | Charles Dickens | William Thackeray | George Eliot | Anthony Trollope
H | Who wrote Middlemarch? | George Eliot | Elizabeth Gaskell | Charlotte Bronte | Frances Trollope
H | What was George Eliot's real name? | Mary Ann Evans | Emily Lawless | Caroline Norton | Harriet Martineau
H | Who wrote Tess of the d'Urbervilles? | Thomas Hardy | George Eliot | George Meredith | Samuel Butler
H | Who wrote In Search of Lost Time? | Marcel Proust | Andre Gide | Paul Valery | Anatole France
H | Who wrote Ulysses, set on a single Dublin day? | James Joyce | Samuel Beckett | Flann O'Brien | Oliver Gogarty
H | Who wrote Mrs Dalloway and To the Lighthouse? | Virginia Woolf | Katherine Mansfield | Vita Sackville-West | Elizabeth Bowen
H | Who wrote The Master and Margarita? | Mikhail Bulgakov | Boris Pasternak | Andrei Platonov | Yevgeny Zamyatin
H | Who wrote Doctor Zhivago? | Boris Pasternak | Mikhail Sholokhov | Alexander Solzhenitsyn | Ivan Bunin
H | Who wrote One Day in the Life of Ivan Denisovich? | Alexander Solzhenitsyn | Varlam Shalamov | Boris Pasternak | Vasily Grossman
H | Who wrote The Kite Runner? | Khaled Hosseini | Jhumpa Lahiri | Mohsin Hamid | Rohinton Mistry
H | Who wrote Midnight's Children? | Salman Rushdie | V. S. Naipaul | Vikram Seth | Amitav Ghosh
H | Which prize is the highest honor in world literature, awarded in Stockholm? | The Nobel Prize | The Booker Prize | The Pulitzer | The Goncourt
H | Which prize honors American journalism, letters and music each year? | The Pulitzer Prize | The National Book Award | The Peabody | The Bancroft
H | Which American novelist won the Nobel Prize in 1954 for spare, hard prose? | Ernest Hemingway | William Faulkner | John Steinbeck | Sinclair Lewis
H | Which American was the first to win the Nobel Prize in Literature? | Sinclair Lewis | Eugene O'Neill | Pearl Buck | T. S. Eliot

# --- More painting and painters ---

E | Which Dutch painter cut off part of his own ear? | Vincent van Gogh | Rembrandt | Piet Mondrian | Johannes Vermeer
E | Which artist is famous for painting sunflowers in a vase? | Vincent van Gogh | Claude Monet | Paul Gauguin | Henri Matisse
M | Which French painter left for Tahiti and painted its people? | Paul Gauguin | Henri Matisse | Paul Cezanne | Edouard Manet
M | Which painter of apples and mountains is called the father of modern art? | Paul Cezanne | Claude Monet | Edgar Degas | Camille Corot
M | Which French painter used bold flat color and cut paper late in life? | Henri Matisse | Georges Braque | Raoul Dufy | Andre Derain
M | Which artist painted the mural cycle inside Rockefeller Center that was destroyed? | Diego Rivera | Thomas Hart Benton | Jose Orozco | Ben Shahn
M | Which painter of the American West is known for cowboys and horses in bronze? | Frederic Remington | Charles Russell | Albert Bierstadt | George Catlin
M | Which painter recorded the peoples of the Plains in the 1830s? | George Catlin | Frederic Remington | Karl Bodmer | Alfred Miller
M | Which school of American painters made grand landscapes of the Hudson Valley? | The Hudson River School | The Ashcan School | The Ten | The Eight
H | Which painter of vast western vistas worked in the Rocky Mountains? | Albert Bierstadt | Thomas Cole | Frederic Church | Asher Durand
H | Which American painter made watercolors of the sea in Maine? | Winslow Homer | Thomas Eakins | John Singer Sargent | Childe Hassam
H | Which American painter is known for The Gross Clinic and rowing scenes? | Thomas Eakins | Winslow Homer | William Chase | Robert Henri
H | Which portraitist painted the unfinished George Washington on the dollar bill? | Gilbert Stuart | Charles Willson Peale | John Trumbull | Benjamin West
H | Which painter recorded the birds of America in life-size plates? | John James Audubon | Alexander Wilson | Mark Catesby | Louis Agassiz Fuertes
H | Which Swiss-German painter said a line is a dot that went for a walk? | Paul Klee | Wassily Kandinsky | Franz Marc | August Macke
H | Which Russian painter is credited with the first purely abstract works? | Wassily Kandinsky | Kazimir Malevich | Marc Chagall | Natalia Goncharova
H | Which painter filled canvases with floating villagers and violinists? | Marc Chagall | Marc Ryden | Amedeo Modigliani | Chaim Soutine
H | Which Italian painter stretched his sitters' necks and faces? | Amedeo Modigliani | Giorgio Morandi | Umberto Boccioni | Gino Severini
H | Which Belgian surrealist painted men in bowler hats and a pipe that is not one? | Rene Magritte | Salvador Dali | Paul Delvaux | Max Ernst
H | Which painter of the Dutch Golden Age painted mostly quiet interiors in Delft? | Johannes Vermeer | Jan Steen | Gerard ter Borch | Pieter de Hooch
H | Which Flemish painter ran a large studio and painted fleshy figures? | Peter Paul Rubens | Anthony van Dyck | Jacob Jordaens | Frans Snyders
H | Which Italian painter used harsh light and street models for sacred scenes? | Caravaggio | Guido Reni | Annibale Carracci | Artemisia Gentileschi
H | Which Italian woman painter of the Baroque painted Judith beheading Holofernes? | Artemisia Gentileschi | Sofonisba Anguissola | Lavinia Fontana | Elisabetta Sirani

# --- More music and instruments ---

E | Which instrument has six strings and is played with fingers or a pick? | The guitar | The violin | The cello | The banjo
E | Which brass instrument is the largest and lowest? | The tuba | The trombone | The trumpet | The French horn
E | Which instrument is played by striking keys that lift hammers onto strings? | The piano | The organ | The xylophone | The harp
M | Which instrument does an orchestra tune to before a concert? | The oboe | The violin | The flute | The clarinet
M | Which instrument is the highest in the woodwind section? | The piccolo | The flute | The clarinet | The oboe
M | Which stringed instrument is held between the knees and bowed? | The cello | The viola | The double bass | The violin
M | Which percussion instrument has tuned metal bars struck with mallets? | The glockenspiel | The snare drum | The timpani | The tambourine
M | Which large drums can be tuned to definite pitches? | Timpani | Snare drums | Bass drums | Bongos
M | What is a group of singers performing together called? | A choir | An ensemble | A quartet | A consort
M | What is the highest female singing voice called? | Soprano | Alto | Mezzo-soprano | Contralto
M | What is the lowest male singing voice called? | Bass | Tenor | Baritone | Countertenor
H | How many keys are black on a standard piano? | Thirty-six | Fifty-two | Forty | Twenty-eight
H | What do we call the speed at which a piece of music is played? | Tempo | Timbre | Dynamics | Meter
H | What do we call the character or color of a musical sound? | Timbre | Tempo | Pitch | Volume
H | Which sign raises a note by a half step? | A sharp | A flat | A natural | A rest
H | Which sign lowers a note by a half step? | A flat | A sharp | A natural | A clef
H | How many notes are in a major scale before the octave repeats? | Seven | Five | Eight | Twelve
H | Which clef is normally used for the lower notes on a piano? | The bass clef | The treble clef | The alto clef | The tenor clef
H | What do we call music written for a small group in a room rather than a hall? | Chamber music | Symphonic music | Choral music | Program music
H | What do we call an instrumental piece featuring one soloist against an orchestra? | A concerto | A symphony | A sonata | A suite

# --- Odds and ends of the arts ---

E | Which art form uses clay shaped and fired in a kiln? | Pottery | Weaving | Etching | Mosaic
E | Which craft weaves colored threads into a picture on cloth? | Tapestry | Pottery | Enamel | Marquetry
M | Which Japanese art folds paper into shapes without cutting? | Origami | Ikebana | Kintsugi | Sumi-e
M | Which Japanese art arranges flowers by strict rules? | Ikebana | Origami | Bonsai | Chado
M | Which Japanese practice grows miniature trees in trays? | Bonsai | Ikebana | Origami | Suiseki
M | Which art of beautiful handwriting is prized in China and the Arab world? | Calligraphy | Typography | Illumination | Heraldry
M | Which medieval books were hand-copied and decorated with gold? | Illuminated manuscripts | Codices only | Broadsheets | Chapbooks
M | What do we call the art of designing letters for print? | Typography | Calligraphy | Lithography | Engraving
H | Which museum in Paris holds the Mona Lisa? | The Louvre | The Musee d'Orsay | The Pompidou | The Orangerie
H | Which Paris museum specializes in impressionist painting? | The Musee d'Orsay | The Louvre | The Rodin Museum | The Petit Palais
H | Which New York museum is known by the initials MoMA? | The Museum of Modern Art | The Metropolitan | The Whitney | The Frick
H | Which Washington institution runs a group of national museums? | The Smithsonian | The Library of Congress | The National Archives | The Kennedy Center
H | Which Madrid museum holds Guernica? | The Reina Sofia | The Prado | The Thyssen | The Lazaro Galdiano
H | Which London gallery holds the national collection of British art? | The Tate | The National Gallery | The Courtauld | The Wallace Collection
H | Which Amsterdam museum holds The Night Watch? | The Rijksmuseum | The Van Gogh Museum | The Stedelijk | The Mauritshuis
H | Which St. Petersburg museum occupies the old Winter Palace? | The Hermitage | The Russian Museum | The Tretyakov | The Pushkin
H | Which craft joins colored glass with lead into windows? | Stained glass | Mosaic | Enameling | Glassblowing
H | Which technique prints from a stone or plate using grease and water? | Lithography | Etching | Engraving | Woodcut
H | Which term describes the arrangement of elements within a picture? | Composition | Perspective | Palette | Texture
H | Which technique makes distant objects smaller to suggest depth? | Perspective | Foreshortening | Modeling | Hatching
H | Which pale blue haze suggests distance in a landscape painting? | Atmospheric perspective | Linear perspective | Chiaroscuro | Trompe l'oeil
H | Which French term describes painting so real it fools the eye? | Trompe l'oeil | Plein air | Nature morte | Objet trouve
H | Which French term describes painting outdoors from life? | Plein air | Atelier | Salon | Croquis

# --- Openers ---

E | Which two colors mixed make purple? | Red and blue | Red and yellow | Blue and yellow | Yellow and white
E | Which two colors mixed make green? | Blue and yellow | Red and blue | Red and yellow | Black and yellow
E | Which two colors mixed make orange? | Red and yellow | Blue and yellow | Red and blue | Green and red
E | What are the three primary colors in paint? | Red, yellow and blue | Red, green and blue | Orange, green and purple | Black, white and grey
E | Which fairy tale features a glass slipper? | Cinderella | Snow White | Rapunzel | Sleeping Beauty
E | Which fairy tale features a girl in a red hood and a wolf? | Little Red Riding Hood | Goldilocks | Hansel and Gretel | The Three Little Pigs
E | Which fairy tale features a girl who eats porridge in a bear's house? | Goldilocks and the Three Bears | Snow White | Little Red Riding Hood | Beauty and the Beast
E | Which brothers collected German fairy tales? | The Brothers Grimm | The Wright brothers | The Lumiere brothers | The Bronte brothers
E | Who wrote The Little Mermaid and The Ugly Duckling? | Hans Christian Andersen | The Brothers Grimm | Charles Perrault | Aesop
E | Who is credited with the fables about the tortoise and the hare? | Aesop | Homer | La Fontaine | Ovid
E | Who wrote Peter Pan? | J. M. Barrie | Lewis Carroll | Kenneth Grahame | A. A. Milne
E | What do we call a short story with a moral, often starring animals? | A fable | A myth | A legend | A parable
E | What do we call the main character of a story? | The protagonist | The antagonist | The narrator | The foil
E | What do we call the character who opposes the hero? | The antagonist | The protagonist | The narrator | The sidekick
E | What do we call the time and place in which a story happens? | The setting | The plot | The theme | The tone
E | What do we call a comparison using the word like or as? | A simile | A metaphor | An idiom | A pun
E | What do we call a comparison that says one thing is another? | A metaphor | A simile | An analogy | A symbol
E | What do we call giving human qualities to an object or animal? | Personification | Alliteration | Irony | Hyperbole
E | What do we call a deliberate exaggeration for effect? | Hyperbole | Understatement | Irony | Allusion
E | What do we call a book about a person's life written by someone else? | A biography | An autobiography | A memoir | A journal
E | What do we call the story of a life written by the person who lived it? | An autobiography | A biography | A chronicle | A profile
E | What do we call a picture an artist makes of themselves? | A self-portrait | A still life | A study | A caricature
E | Which paint is thinned with water and dries quickly? | Watercolor | Oil paint | Encaustic | Fresco
E | Which paint uses oil as its binder and dries slowly? | Oil paint | Watercolor | Gouache | Tempera
E | Which instrument family does the drum belong to? | Percussion | Brass | Strings | Woodwinds
E | What do we call the words of a song? | The lyrics | The score | The libretto | The refrain
E | What do we call a drama sung throughout rather than spoken? | An opera | A musical | An oratorio | A cantata
E | What do we call the person who leads an orchestra? | The conductor | The composer | The soloist | The concertmaster
E | Which dance form is performed on pointe in soft slippers or hard shoes? | Ballet | Tap | Flamenco | Modern
E | Which Greek god of music is shown with a lyre? | Apollo | Hermes | Dionysus | Pan
E | Which instrument is held sideways and played by blowing across a hole? | The flute | The clarinet | The oboe | The trumpet
E | Which large stringed instrument is plucked and stands taller than the player? | The harp | The cello | The double bass | The lute
E | Which Italian city is famous for its glassmaking on an island? | Venice | Florence | Naples | Genoa
E | Which building material did Michelangelo carve his statues from? | Marble | Granite | Limestone | Sandstone
M | What do we call the words written for an opera? | The libretto | The lyrics | The score | The prologue
M | What do we call a drawing made to prepare for a larger work? | A study | A print | A plate | A cartoon strip
M | Which Washington museum holds the Wright brothers' airplane? | The National Air and Space Museum | The Museum of American History | The National Gallery | The Natural History Museum
M | What do we call the pattern of stressed and unstressed beats in poetry? | Meter | Rhyme | Stanza | Verse
M | What do we call a group of lines forming a unit in a poem? | A stanza | A canto | A couplet | A refrain
