# History — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# American history first, world history after. Nothing here depends on who
# holds office today: a question whose answer changes with an election has
# no business in a deck that ships in an app.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | history
! name    | History
! icon    | building.columns
! tint    | 0.85 0.66 0.22
! rank    | 1


# --- The founding ---

E | In which year was the Declaration of Independence adopted? | 1776 | 1781 | 1789 | 1765
H | Which president was assassinated in Buffalo in 1901? | William McKinley | James Garfield | Theodore Roosevelt | Grover Cleveland
H | Which president signed the Panama Canal treaties in 1977? | Jimmy Carter | Richard Nixon | Gerald Ford | Ronald Reagan
H | Which president oversaw the Louisiana Purchase's exploration and the embargo of 1807? | Thomas Jefferson | James Madison | John Adams | James Monroe
H | Which president was in office during the War of 1812? | James Madison | Thomas Jefferson | James Monroe | John Quincy Adams
H | Which president was the first born in the twentieth century? | John F. Kennedy | Richard Nixon | Lyndon Johnson | Dwight Eisenhower
H | Which president had been a tailor before entering politics? | Andrew Johnson | Abraham Lincoln | Millard Fillmore | Andrew Jackson
H | Which president was the only bachelor to serve a full term? | James Buchanan | Grover Cleveland | Chester Arthur | Franklin Pierce
H | Which president appointed the first woman to the Supreme Court? | Ronald Reagan | Jimmy Carter | Gerald Ford | George H. W. Bush

# --- Inventors, firsts and machines ---

E | Who is credited with the first practical electric light bulb? | Thomas Edison | Nikola Tesla | Alexander Graham Bell | Michael Faraday
E | Who is credited with inventing the telephone? | Alexander Graham Bell | Thomas Edison | Samuel Morse | Guglielmo Marconi
E | Which brothers flew the first powered airplane? | The Wright brothers | The Montgolfier brothers | The Lumiere brothers | The Curtiss brothers
E | In which state did the Wright brothers first fly? | North Carolina | Ohio | Virginia | Georgia
E | Who was the first person in space? | Yuri Gagarin | Neil Armstrong | Alan Shepard | John Glenn
E | Which country launched the first artificial satellite? | The Soviet Union | The United States | Britain | France
E | Who founded the company that made the Model T? | Henry Ford | Ransom Olds | Walter Chrysler | Louis Chevrolet
M | Who developed the telegraph and its code? | Samuel Morse | Alexander Graham Bell | Thomas Edison | Guglielmo Marconi
M | Who invented the cotton gin in 1793? | Eli Whitney | Cyrus McCormick | John Deere | Robert Fulton
M | Who built the first commercially successful steamboat? | Robert Fulton | James Watt | John Fitch | Cornelius Vanderbilt
M | Who was the first woman in space? | Valentina Tereshkova | Sally Ride | Mae Jemison | Svetlana Savitskaya
M | Who was the first American woman in space? | Sally Ride | Mae Jemison | Christa McAuliffe | Eileen Collins
M | Which Scottish engineer improved the steam engine in the 1770s? | James Watt | Thomas Newcomen | George Stephenson | Richard Arkwright
M | Which two scientists described the structure of DNA in 1953? | Watson and Crick | Mendel and Morgan | Pasteur and Koch | Darwin and Wallace
M | Who discovered penicillin in 1928? | Alexander Fleming | Louis Pasteur | Jonas Salk | Robert Koch
M | Who developed the first polio vaccine? | Jonas Salk | Alexander Fleming | Albert Sabin | Edward Jenner
M | Which American inventor patented over a thousand devices at Menlo Park? | Thomas Edison | Nikola Tesla | George Westinghouse | Elisha Otis
H | Which American scientist studied peanuts and soil at Tuskegee? | George Washington Carver | Booker T. Washington | Percy Julian | Charles Drew
H | Who invented the mechanical reaper in 1831? | Cyrus McCormick | John Deere | Eli Whitney | Jethro Tull
H | Who was the first American in space? | Alan Shepard | John Glenn | Gus Grissom | Neil Armstrong
H | Which Apollo mission suffered an explosion but returned safely? | Apollo 13 | Apollo 11 | Apollo 1 | Apollo 8
H | Which space shuttle broke apart shortly after launch in 1986? | Challenger | Columbia | Discovery | Atlantis
H | Who developed the first practical assembly line for cars? | Henry Ford | Ransom Olds | Frederick Taylor | Alfred Sloan
H | Which physicist led the Los Alamos laboratory during the war? | J. Robert Oppenheimer | Enrico Fermi | Niels Bohr | Leo Szilard
H | Who invented dynamite and endowed a set of prizes? | Alfred Nobel | Alfred Krupp | Werner Siemens | Ernst Abbe

# --- The world wars in more detail ---

E | On which date did Japan attack Pearl Harbor? | December 7, 1941 | December 7, 1942 | November 11, 1941 | June 6, 1944
E | Which city was struck by the first atomic bomb used in war? | Hiroshima | Nagasaki | Tokyo | Kyoto
M | Which Japanese city was struck by the second atomic bomb? | Nagasaki | Hiroshima | Osaka | Kobe
M | Which German air campaign against Britain failed in 1940? | The Battle of Britain | Operation Sea Lion | The Blitzkrieg | Operation Barbarossa
M | Which code name was given to the German invasion of the Soviet Union? | Operation Barbarossa | Operation Overlord | Operation Torch | Operation Market Garden
M | Which code name was given to the Normandy landings? | Operation Overlord | Operation Barbarossa | Operation Husky | Operation Dragoon
M | Which general commanded Allied forces in Europe on D-Day? | Dwight Eisenhower | George Patton | Omar Bradley | Bernard Montgomery
M | Which general famously returned to the Philippines in 1944? | Douglas MacArthur | Chester Nimitz | George Marshall | Mark Clark
M | Which trench-bound front defined the First World War in France? | The Western Front | The Eastern Front | The Italian Front | The Balkan Front
M | Which 1916 battle on the Somme cost Britain nearly sixty thousand men in a day? | The Battle of the Somme | Verdun | Passchendaele | Ypres
M | Which 1944 German counterattack is called the Battle of the Bulge? | The Ardennes offensive | The Rhine crossing | The Falaise pocket | The Kasserine attack
H | Which alliance did Germany, Austria-Hungary and Italy form before 1914? | The Triple Alliance | The Triple Entente | The Central Powers pact | The League of Three Emperors
H | Which battle of 1916 was the largest naval clash of the First World War? | Jutland | Trafalgar | Coronel | Dogger Bank
H | Which French fortress town held out through most of 1916? | Verdun | Sedan | Metz | Lille
H | Which armistice ended the fighting of the First World War? | November 11, 1918 | June 28, 1919 | August 4, 1914 | May 7, 1915
H | Which Japanese admiral planned the Pearl Harbor attack? | Isoroku Yamamoto | Chuichi Nagumo | Hideki Tojo | Tomoyuki Yamashita
H | Which island battle of 1945 produced the famous flag-raising photograph? | Iwo Jima | Okinawa | Guadalcanal | Tarawa
H | Which conference in 1943 first brought Roosevelt, Churchill and Stalin together? | Tehran | Yalta | Potsdam | Casablanca
H | Which German field marshal was nicknamed the Desert Fox? | Erwin Rommel | Heinz Guderian | Gerd von Rundstedt | Friedrich Paulus
H | Which country remained neutral through both world wars? | Switzerland | Belgium | Norway | Greece
H | Which trials judged Nazi leaders after the war? | The Nuremberg trials | The Tokyo trials | The Hague trials | The Leipzig trials

# --- Civil rights and American society ---

E | Which movement sought equal rights for Black Americans in the 1950s and 1960s? | The civil rights movement | The suffrage movement | The temperance movement | The labor movement
E | Which 1963 march ended at the Lincoln Memorial? | The March on Washington | The Selma march | The Poor People's March | The Silent Parade
M | Which bridge in Selma was the site of Bloody Sunday in 1965? | The Edmund Pettus Bridge | The Tallahatchie Bridge | The Alabama River Bridge | The Montgomery Bridge
M | Which sit-in movement began at a Woolworth counter in 1960? | Greensboro | Nashville | Atlanta | Jackson
M | Which activist founded the National Farm Workers Association? | Cesar Chavez | Dolores Huerta | Luis Valdez | Reies Tijerina
M | Which 1848 convention launched the American women's rights movement? | Seneca Falls | Niagara Falls | Rochester | Albany
M | Which suffragist was arrested for voting in 1872? | Susan B. Anthony | Elizabeth Cady Stanton | Lucretia Mott | Alice Paul
M | Which fire in 1911 spurred workplace safety laws in New York? | The Triangle Shirtwaist fire | The Iroquois Theater fire | The General Slocum fire | The Chicago fire
M | Which island processed millions of immigrants arriving in New York? | Ellis Island | Angel Island | Governors Island | Liberty Island
M | Which island in San Francisco Bay processed Pacific immigrants? | Angel Island | Alcatraz | Treasure Island | Yerba Buena
H | Which organization did W. E. B. Du Bois help found in 1909? | The NAACP | The Urban League | SNCC | CORE
H | Which 1967 ruling struck down bans on interracial marriage? | Loving v. Virginia | Brown v. Board | Griswold v. Connecticut | Bakke
H | Which labor leader founded the United Farm Workers with Chavez? | Dolores Huerta | Rose Schneiderman | Mother Jones | Frances Perkins
H | Which 1882 law barred a national group from immigrating? | The Chinese Exclusion Act | The Immigration Act of 1924 | The Alien Act | The Page Act
H | Which order in 1942 sent Japanese Americans to internment camps? | Executive Order 9066 | Executive Order 8802 | The War Powers Act | The Smith Act
H | Which first woman held a cabinet post, as Secretary of Labor? | Frances Perkins | Eleanor Roosevelt | Jeannette Rankin | Margaret Chase Smith
H | Which woman was the first elected to Congress, in 1916? | Jeannette Rankin | Margaret Chase Smith | Shirley Chisholm | Hattie Caraway
H | Which Black woman was the first elected to Congress, in 1968? | Shirley Chisholm | Barbara Jordan | Carol Moseley Braun | Maxine Waters
H | Which strike of 1894 halted rail traffic across the country? | The Pullman Strike | The Homestead Strike | The Haymarket Strike | The Great Railroad Strike
H | Which 1886 Chicago rally ended in a bombing and a labor trial? | Haymarket | Pullman | Homestead | Ludlow

# --- More of the ancient and medieval world ---

E | Which empire built roads and aqueducts across Europe? | The Roman Empire | The Greek Empire | The Persian Empire | The Egyptian Empire
E | Which structure did the Egyptians build as royal tombs? | Pyramids | Ziggurats | Temples | Obelisks
E | Which sea did Greek and Roman ships mostly sail? | The Mediterranean | The Baltic | The Black Sea | The Red Sea
M | Which Mesopotamian towers were stepped temples? | Ziggurats | Pyramids | Pagodas | Stupas
M | Which Athenian statesman expanded democracy in the fifth century BC? | Pericles | Solon | Cleisthenes | Themistocles
M | Which Greek wrote the Iliad and the Odyssey? | Homer | Herodotus | Sophocles | Virgil
M | Which Greek is called the father of history? | Herodotus | Thucydides | Plutarch | Xenophon
M | Which Roman poet wrote the Aeneid? | Virgil | Ovid | Horace | Cicero
M | Which war pitted Athens against Sparta? | The Peloponnesian War | The Persian Wars | The Trojan War | The Corinthian War
M | Which Roman general crossed the Rubicon in 49 BC? | Julius Caesar | Pompey | Crassus | Sulla
M | Which Chinese thinker taught duty and respect for elders? | Confucius | Laozi | Sun Tzu | Mencius
M | Which Chinese general wrote The Art of War? | Sun Tzu | Confucius | Cao Cao | Zhuge Liang
H | Which Byzantine emperor codified Roman law in the sixth century? | Justinian | Constantine | Basil II | Heraclius
H | Which city was the capital of the Byzantine Empire? | Constantinople | Rome | Antioch | Alexandria
H | Which Islamic dynasty ruled from Baghdad from 750? | The Abbasids | The Umayyads | The Fatimids | The Seljuks
H | Which West African empire grew rich on gold and salt at Timbuktu? | Mali | Kush | Zimbabwe | Songhai
H | Which Malian ruler made a famously lavish pilgrimage in 1324? | Mansa Musa | Sundiata | Askia Muhammad | Sunni Ali
H | Which Japanese warrior class served the shoguns? | The samurai | The ronin | The daimyo | The ninja
H | Which title did Japan's military rulers hold from 1192? | Shogun | Emperor | Daimyo | Regent
H | Which survey of England was compiled in 1086? | The Domesday Book | Magna Carta | The Anglo-Saxon Chronicle | The Bayeux Tapestry
H | Which embroidery tells the story of the Norman conquest? | The Bayeux Tapestry | The Cluny Tapestry | The Unicorn Tapestry | The Overlord Embroidery
H | Which order of knights was dissolved in 1312? | The Knights Templar | The Hospitallers | The Teutonic Knights | The Knights of Malta
H | Which Italian traveler described the court of Kublai Khan? | Marco Polo | Ibn Battuta | John Mandeville | Giovanni Carpini
H | Which Moroccan traveler journeyed farther than Marco Polo? | Ibn Battuta | Al-Idrisi | Al-Biruni | Ibn Khaldun

# --- More of the modern world ---

E | Which country was ruled by Queen Victoria for over sixty years? | Britain | France | Spain | Russia
E | Which two cities were the capitals of a divided Germany after 1949? | Bonn and East Berlin | Berlin and Munich | Hamburg and Dresden | Frankfurt and Leipzig
E | Which canal opened in Egypt in 1869? | The Suez Canal | The Panama Canal | The Corinth Canal | The Kiel Canal
M | Which century saw the Industrial Revolution begin in Britain? | The eighteenth | The sixteenth | The nineteenth | The seventeenth
M | Which French king was executed in 1793? | Louis XVI | Louis XIV | Louis XV | Charles X
M | Which document of 1789 proclaimed the rights of man in France? | The Declaration of the Rights of Man | The Civil Code | The Constitution of 1791 | The Tennis Court Oath
M | Which Italian led the volunteers who helped unify Italy? | Giuseppe Garibaldi | Camillo Cavour | Victor Emmanuel | Giuseppe Mazzini
M | Which German chancellor unified Germany in 1871? | Otto von Bismarck | Wilhelm I | Friedrich Ebert | Paul von Hindenburg
M | Which 1917 declaration backed a Jewish homeland in Palestine? | The Balfour Declaration | The Sykes-Picot Agreement | The San Remo Resolution | The Hussein-McMahon letters
M | Which country did the Soviet Union invade in 1979? | Afghanistan | Iran | Pakistan | Turkey
M | Which two countries were partitioned from British India in 1947? | India and Pakistan | India and Bangladesh | Pakistan and Ceylon | India and Burma
M | Which conflict split Korea along the 38th parallel? | The Korean War | The Sino-Japanese War | The Pacific War | The Manchurian crisis
H | Which 1839 war forced China to open ports to British trade? | The First Opium War | The Boxer Rebellion | The Taiping Rebellion | The Sino-French War
H | Which 1900 uprising in China targeted foreigners? | The Boxer Rebellion | The Taiping Rebellion | The White Lotus Rebellion | The Xinhai Revolution
H | Which 1868 restoration ended the shogunate in Japan? | The Meiji Restoration | The Taisho Restoration | The Tokugawa Restoration | The Kenmu Restoration
H | Which European conference of 1884 carved up Africa? | The Berlin Conference | The Congress of Vienna | The Congress of Berlin | The Hague Conference
H | Which South African wars pitted Britain against Dutch settlers? | The Boer Wars | The Zulu Wars | The Ashanti Wars | The Mahdist Wars
H | Which Mexican revolutionary led armies in the north after 1910? | Pancho Villa | Emiliano Zapata | Venustiano Carranza | Porfirio Diaz
H | Which Mexican revolutionary demanded land and liberty in the south? | Emiliano Zapata | Pancho Villa | Francisco Madero | Alvaro Obregon
H | Which liberator freed much of northern South America from Spain? | Simon Bolivar | Jose de San Martin | Bernardo O'Higgins | Antonio Sucre
H | Which general freed Argentina and Chile from Spanish rule? | Jose de San Martin | Simon Bolivar | Miguel Hidalgo | Toussaint Louverture
H | Which Caribbean colony won independence through a slave revolt in 1804? | Haiti | Cuba | Jamaica | Puerto Rico
H | Which 1955 pact answered NATO in eastern Europe? | The Warsaw Pact | The Comecon Treaty | The Molotov Pact | The Brest Accord
H | Which 1956 uprising against Soviet rule was crushed in Budapest? | The Hungarian Uprising | The Prague Spring | The Solidarity strikes | The Poznan revolt
H | Which 1968 reform movement in Czechoslovakia was crushed by tanks? | The Prague Spring | The Velvet Revolution | The Hungarian Uprising | Solidarity

# --- A last handful, for openers ---

E | In which century was the American Civil War fought? | The nineteenth | The eighteenth | The twentieth | The seventeenth
E | Who led Germany during the Second World War? | Adolf Hitler | Otto von Bismarck | Kaiser Wilhelm | Konrad Adenauer
E | Who led the Soviet Union during the Second World War? | Joseph Stalin | Vladimir Lenin | Nikita Khrushchev | Leon Trotsky
E | Which Italian dictator allied himself with Hitler? | Benito Mussolini | Francisco Franco | Antonio Salazar | Victor Emmanuel
E | Which US president was nicknamed Honest Abe? | Abraham Lincoln | Andrew Jackson | Ulysses Grant | Theodore Roosevelt
E | Which amendment protects freedom of speech? | The First | The Second | The Fifth | The Tenth
E | Which liner struck an iceberg and sank in 1912? | The Titanic | The Lusitania | The Britannic | The Andrea Doria
E | Which decade is called the Roaring Twenties? | The 1920s | The 1910s | The 1930s | The 1950s
E | Which dust storms battered the Great Plains in the 1930s? | The Dust Bowl | The Great Blizzard | The Long Drought | The Sand Winds
E | What did Prohibition ban? | Alcohol | Tobacco | Gambling | Firearms
E | Which country did Napoleon rule? | France | Italy | Spain | Austria
E | Which king ruled Britain during the American Revolution? | George III | George II | William IV | Charles II
E | Which English queen reigned in Shakespeare's day? | Elizabeth I | Victoria | Mary I | Anne
E | Which network helped enslaved people escape north? | The Underground Railroad | The Freedom Trail | The Liberty Line | The Northern Road
E | Which people reached North America centuries before Columbus? | The Vikings | The Romans | The Phoenicians | The Moors
E | Which explorer gave his name to two continents? | Amerigo Vespucci | Christopher Columbus | John Cabot | Leif Erikson
E | Which ancient wonder of the world still stands today? | The Great Pyramid of Giza | The Hanging Gardens | The Colossus of Rhodes | The Lighthouse of Alexandria
E | How many wonders of the ancient world were traditionally listed? | Seven | Five | Ten | Twelve
E | In which country were the first modern Olympic Games held? | Greece | France | Britain | Italy
E | In which year were the first modern Olympic Games held? | 1896 | 1900 | 1888 | 1912
E | Which empire built the Colosseum? | The Roman Empire | The Greek Empire | The Byzantine Empire | The Ottoman Empire
E | Which war did the United States fight against Britain starting in 1812? | The War of 1812 | The Revolutionary War | The French and Indian War | The Barbary War
E | Which great fire destroyed much of a European capital in 1666? | The Great Fire of London | The Paris fire | The Rome fire | The Lisbon fire
E | Which American city burned in a great fire in 1871? | Chicago | Boston | San Francisco | Baltimore
E | Which earthquake and fire devastated an American city in 1906? | San Francisco | Los Angeles | Seattle | Portland
E | Which conflict is also called the War Between the States? | The Civil War | The Revolutionary War | The War of 1812 | The Mexican War
E | Which state was the Alamo fought over? | Texas | New Mexico | California | Arizona
