# Screen & Music — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Movies, television and popular song. Books, painting and concert music
# live in Arts & Literature, and nothing here trespasses on them.
#
# Two traps peculiar to this theme. A title carrying a question mark would
# give the line two, and a prompt carries exactly one — such titles are not
# asked about. And nothing here is a current chart, a running series or a
# living record: those go stale between the writing and the release.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | screen
! name    | Screen & Music
! icon    | music.note.tv
! tint    | 0.75 0.40 0.62
! rank    | 5


# --- The movies everyone has seen ---

E | In which film does a girl named Dorothy follow a yellow brick road? | The Wizard of Oz | Alice in Wonderland | Peter Pan | Mary Poppins
M | Which 1984 comedy has a team catching ghosts in New York? | Ghostbusters | Beetlejuice | The Frighteners | Men in Black
M | Which 1982 film features a dying man and a suburban family hiding an alien? | E.T. the Extra-Terrestrial | Close Encounters | Starman | Cocoon
M | Which 1991 animated film was the first to be nominated for Best Picture? | Beauty and the Beast | Aladdin | The Lion King | Toy Story
H | Which 1969 film about two drifters on motorcycles opened the New Hollywood era? | Easy Rider | Bonnie and Clyde | The Graduate | Midnight Cowboy
H | Which 1967 film starred Dustin Hoffman and a plastics speech? | The Graduate | Midnight Cowboy | Little Big Man | The Odd Couple
H | Which 1967 film paired Faye Dunaway and Warren Beatty as outlaws? | Bonnie and Clyde | Butch Cassidy and the Sundance Kid | Badlands | Thieves Like Us
H | Which 1974 film about a Los Angeles water scandal starred Jack Nicholson? | Chinatown | The Long Goodbye | Serpico | Klute
H | Which 1975 film is set in a mental hospital and won five top Academy Awards? | One Flew Over the Cuckoo's Nest | Network | Dog Day Afternoon | The Deer Hunter
H | Which 1979 film about the Vietnam War sailed up a river to find a colonel? | Apocalypse Now | The Deer Hunter | Platoon | Full Metal Jacket
H | Which 1993 film about the Holocaust was shot mostly in black and white? | Schindler's List | The Pianist | Sophie's Choice | Life Is Beautiful
H | Which 1998 war film opens with the Normandy landings? | Saving Private Ryan | The Thin Red Line | Enemy at the Gates | Band of Brothers
H | Which 1995 film about the Apollo program starred Tom Hanks as a commander? | Apollo 13 | The Right Stuff | First Man | Hidden Figures
H | Which 2016 film told the story of Black women mathematicians at NASA? | Hidden Figures | Loving | Fences | Selma

# --- More rock, pop and soul ---

E | Which band from Liverpool released Abbey Road? | The Beatles | The Kinks | The Hollies | The Zombies
E | Which British band's members included Mick Jagger and Keith Richards? | The Rolling Stones | The Who | The Animals | The Yardbirds
E | Which Swedish group won Eurovision in 1974 and recorded Dancing Queen? | ABBA | Roxette | Ace of Base | A-ha
E | Which Jamaican singer made reggae known worldwide? | Bob Marley | Peter Tosh | Jimmy Cliff | Toots Hibbert
M | Which Irish band's singer is known as Bono? | U2 | The Cranberries | Thin Lizzy | The Pogues
M | Which Australian band recorded Back in Black? | AC/DC | INXS | Midnight Oil | Men at Work
M | Which New York band is credited with launching punk at a club called CBGB? | The Ramones | Blondie | Talking Heads | Television
M | Which British band's Never Mind the Bollocks defined British punk? | The Sex Pistols | The Clash | The Damned | The Jam
M | Which style of dance music dominated clubs in the late 1970s? | Disco | House | Techno | Funk only
M | Which 1977 film soundtrack helped make disco a national craze? | Saturday Night Fever | Grease | Thank God It's Friday | Xanadu
M | Which duo recorded Bridge Over Troubled Water? | Simon and Garfunkel | Hall and Oates | The Everly Brothers | Sam and Dave
M | Which Minnesota-born singer released Purple Rain as a film and an album? | Prince | Bob Dylan | Morris Day | Terry Lewis
M | Which singer recorded Born to Run and Born in the U.S.A.? | Bruce Springsteen | John Mellencamp | Bob Seger | Tom Petty
M | Which band recorded Bohemian Rhapsody? | Queen | Led Zeppelin | Yes | Supertramp
M | Which chart has ranked American singles since 1958? | The Billboard Hot 100 | The Cashbox Top 50 | The Variety Chart | The Radio Ranking
H | Which Grammy category honors a single recording of the year? | Record of the Year | Album of the Year | Song of the Year | Best New Artist
H | Which Grammy category honors the writer of a song rather than the recording? | Song of the Year | Record of the Year | Album of the Year | Producer of the Year
H | Which band recorded Pet Sounds in 1966? | The Beach Boys | The Byrds | The Mamas and the Papas | The Turtles
H | Which band recorded Sgt. Pepper's Lonely Hearts Club Band? | The Beatles | The Rolling Stones | The Kinks | The Small Faces
H | Which Detroit singer recorded What's Going On in 1971? | Marvin Gaye | Stevie Wonder | Smokey Robinson | Curtis Mayfield
H | Which blind Motown artist recorded Songs in the Key of Life? | Stevie Wonder | Ray Charles | Marvin Gaye | Al Green
H | Which singer and pianist blended gospel and blues on What'd I Say? | Ray Charles | Fats Domino | Little Richard | Jerry Lee Lewis
H | Which group of Motown session musicians played on countless hits? | The Funk Brothers | The Wrecking Crew | The Swampers | Booker T and the MGs
H | Which Los Angeles session collective is called the Wrecking Crew? | Studio musicians of the 1960s | A surf band | A record label | A songwriting team
H | Which Alabama studio town gave soul records their distinctive sound? | Muscle Shoals | Macon | Tupelo | Clarksdale
H | Which producer built the wall of sound technique in the 1960s? | Phil Spector | Berry Gordy | George Martin | Quincy Jones
H | Which producer worked with the Beatles and was called the fifth Beatle? | George Martin | Brian Epstein | Phil Spector | Glyn Johns
H | Which producer arranged Thriller and worked with countless artists? | Quincy Jones | Nile Rodgers | Rick Rubin | Jimmy Jam

# --- Video games and screens ---

E | Which 1972 arcade game bounced a square between two paddles? | Pong | Space Invaders | Breakout | Asteroids
E | Which 1980 arcade game featured a yellow circle eating dots? | Pac-Man | Donkey Kong | Frogger | Centipede
E | Which mustachioed plumber is Nintendo's best-known character? | Mario | Luigi | Link | Kirby
M | Which 1985 game launched Mario's console adventures? | Super Mario Bros. | Donkey Kong | Mario Kart | Super Mario World
M | Which puzzle game from 1984 drops falling shapes into rows? | Tetris | Columns | Dr. Mario | Puyo Puyo
M | Which company made the Game Boy? | Nintendo | Sega | Atari | Sony
M | Which company made the Genesis console? | Sega | Nintendo | Atari | NEC
M | Which company made the PlayStation? | Sony | Nintendo | Microsoft | Sega
M | Which company makes the Xbox? | Microsoft | Sony | Nintendo | Valve
M | Which blue hedgehog was Sega's answer to Mario? | Sonic | Knuckles | Tails | Shadow
M | Which building game lets players place blocks in an open world? | Minecraft | Roblox | Terraria | Fortnite
H | Which 1981 arcade game introduced a carpenter later renamed Mario? | Donkey Kong | Pac-Man | Galaga | Dig Dug
H | Which 1978 Japanese game filled arcades with descending aliens? | Space Invaders | Galaxian | Asteroids | Defender
H | Which 1986 game began a series about a green-clad hero in Hyrule? | The Legend of Zelda | Metroid | Castlevania | Final Fantasy
H | Which console crash of 1983 nearly ended home gaming in America? | The video game crash | The Atari collapse only | The arcade slump | The cartridge glut
H | Which company dominated home consoles before that crash? | Atari | Nintendo | Coleco | Magnavox
H | Which term describes games played by many people together over a network? | Multiplayer online | Single-player | Local co-op only | Split screen
H | Which term describes competitive video gaming as a spectator sport? | Esports | Speedrunning | Modding | Streaming only

# --- Openers ---

E | Which device do people use to change television channels from a couch? | A remote control | A dial | A joystick | A keypad phone
E | Which format replaced videotape for home movies in the late 1990s? | The DVD | The laserdisc | The Blu-ray | The CD-ROM
E | Which format replaced the DVD for high-definition home movies? | Blu-ray | VHS | Laserdisc | MiniDisc
E | Which round format held music before cassettes and compact discs? | The vinyl record | The eight-track | The reel-to-reel | The wax cylinder only
E | Which format let listeners record music onto tape in a small plastic shell? | The cassette | The vinyl record | The compact disc | The MiniDisc
E | Which portable player made carrying a music library ordinary in the 2000s? | The iPod | The Walkman | The Discman | The Zune
E | Which portable player let people carry cassettes in the 1980s? | The Walkman | The iPod | The Discman | The boombox
E | Which large portable radio and tape player was carried on the shoulder? | The boombox | The transistor radio | The Walkman | The turntable
E | What do we call watching several episodes of a series in one sitting? | Binge-watching | Channel surfing | Marathoning only | Streaming
E | What do we call watching video delivered over the internet? | Streaming | Broadcasting | Syndication | Downloading only
E | What do we call reruns of a show sold to many local stations? | Syndication | Streaming | Simulcasting | Rebroadcasting
E | What do we call the person who introduces songs on the radio? | A disc jockey | A producer | An engineer | A programmer
E | What do we call a short film made to promote a song? | A music video | A trailer | A promo reel | A teaser
E | What do we call an audio series people subscribe to and download? | A podcast | A broadcast | A webcast | A newsletter
E | What do we call the words sung over a beat in hip-hop? | Rapping | Scatting | Crooning | Yodeling
E | What do we call the practice of moving a record back and forth for rhythm? | Scratching | Mixing | Mastering | Sampling
E | What do we call reusing a snippet of an old record in a new song? | Sampling | Scratching | Remixing only | Covering
E | What do we call a new recording of a song first done by someone else? | A cover | A remix | A sample | A bootleg
E | What do we call a song's most repeated section? | The chorus | The verse | The bridge | The intro
E | What do we call the contrasting section between choruses? | The bridge | The verse | The hook | The outro
M | What do we call an unauthorized recording of a concert? | A bootleg | A demo | A remaster | A pressing
M | What do we call a rough recording made to pitch a song? | A demo | A master | A bootleg | A single
M | What do we call the final approved recording a release is copied from? | The master | The demo | The mix | The stem
M | What do we call a record with one main song and a B-side? | A single | An album | An EP | A compilation
M | What do we call a release longer than a single but shorter than an album? | An EP | An LP | A single | A box set
M | What do we call an album collecting an artist's best-known songs? | A greatest hits | A live album | A concept album | A soundtrack
M | What do we call an album whose songs tell one continuous story? | A concept album | A greatest hits | A double album | A tribute album
M | What do we call the opening act of a concert? | The support act | The headliner | The encore | The soundcheck
M | What do we call the last song played after the main set? | The encore | The finale only | The closer | The reprise
M | What do we call the practice of playing music from a laptop or turntables at a club? | DJing | Mixing only | Producing | Engineering

# --- The last reel ---

E | Which holiday film features a department store Santa on trial? | Miracle on 34th Street | It's a Wonderful Life | A Christmas Story | Elf
E | Which film features a boy who wants a BB gun for Christmas? | A Christmas Story | Home Alone | Elf | The Polar Express
E | Which Disney film features a wooden puppet who wants to be a real boy? | Pinocchio | Peter Pan | Dumbo | Bambi
E | Which Disney film features a flying elephant? | Dumbo | Bambi | Pinocchio | The Rescuers
E | Which Disney film features a girl who trades her voice for legs? | The Little Mermaid | Pocahontas | Mulan | Tangled
E | Which Disney film features a princess awakened from a long sleep? | Sleeping Beauty | Snow White | Cinderella | Rapunzel
E | Which Pixar film sends an old man's house aloft with balloons? | Up | Wall-E | Ratatouille | Inside Out
E | Which Pixar film follows a rat who wants to cook in Paris? | Ratatouille | Up | Cars | Brave
E | Which Pixar film follows a clownfish searching for his son? | Finding Nemo | Finding Dory | Shark Tale | The Little Mermaid
E | Which Pixar film gives feelings their own control room in a girl's head? | Inside Out | Soul | Coco | Turning Red
M | Which musical film features a young lion and a song about no worries? | The Lion King | Madagascar | Tarzan | Jungle Book
M | Which 2013 animated film features two royal sisters and an ice power? | Frozen | Brave | Tangled | Moana
M | Which studio distributed the original King Kong in 1933? | RKO | MGM | Warner Bros. | Universal
M | Which monster film series began in Japan in 1954? | Godzilla | Mothra | Gamera | Rodan
M | Which 1931 film made a Hungarian actor synonymous with a vampire count? | Dracula | Nosferatu | The Mummy | Frankenstein
M | Which 1931 film featured a monster assembled by a scientist? | Frankenstein | Dracula | The Invisible Man | The Wolf Man
M | Which 1978 slasher film introduced a masked killer in a small town? | Halloween | Friday the 13th | Black Christmas | The Fog
M | Which 1973 horror film centered on the possession of a young girl? | The Exorcist | The Omen | Carrie | Rosemary's Baby
H | Which 1922 German film is an unlicensed version of Dracula? | Nosferatu | The Cabinet of Dr. Caligari | Metropolis | Faust
H | Which 1927 German film shows a futuristic city split above and below ground? | Metropolis | Nosferatu | M | The Golem
H | Which 1925 Soviet film is famous for a sequence on the Odessa steps? | Battleship Potemkin | October | Strike | Man with a Movie Camera
H | Which 1948 Italian film follows a father and son searching for a stolen bike? | Bicycle Thieves | Rome, Open City | La Strada | Umberto D
H | Which movement in postwar Italy filmed ordinary life with nonactors? | Neorealism | Expressionism | The New Wave | Dogme
H | Which French movement of the late 1950s broke filmmaking rules? | The New Wave | Neorealism | Poetic realism | Surrealism
H | Which French director of the New Wave made Breathless? | Jean-Luc Godard | Francois Truffaut | Claude Chabrol | Eric Rohmer
H | Which French director of the New Wave made The 400 Blows? | Francois Truffaut | Jean-Luc Godard | Alain Resnais | Louis Malle

# --- The last chorus ---

E | Which instrument does a lead guitarist play? | The electric guitar | The bass | The drums | The keyboard
E | Which instrument keeps the beat in a rock band? | The drums | The guitar | The keyboard | The saxophone
E | Which instrument plays the lowest notes in a rock band? | The bass guitar | The lead guitar | The keyboard | The harmonica
E | Which small reed instrument is held in the hands and played with the mouth? | The harmonica | The kazoo | The recorder | The ocarina
M | Which genre grew out of gospel and rhythm and blues in the 1960s? | Soul | Country | Folk | Bluegrass
M | Which genre combines country instruments with fast picking and high harmony? | Bluegrass | Zydeco | Cajun | Western swing
M | Which Louisiana genre uses accordion and washboard? | Zydeco | Bluegrass | Rockabilly | Gospel
M | Which genre blends country and early rock and roll? | Rockabilly | Doo-wop | Surf rock | Swing
M | Which vocal genre used nonsense syllables and street corner harmony? | Doo-wop | Scat | Barbershop | Yodeling
M | Which genre uses four unaccompanied male voices in close harmony? | Barbershop | Doo-wop | Gospel | A cappella pop
M | Which genre began in Jamaica with offbeat guitar and heavy bass? | Reggae | Calypso | Soca | Ska only
M | Which genre grew from reggae's faster predecessor in Jamaica? | Ska | Dub | Dancehall | Rocksteady only
M | Which German band of the 1970s pioneered electronic pop with machines? | Kraftwerk | Can | Neu | Tangerine Dream
M | Which city gave its name to a stripped-down style of electronic dance music? | Detroit, for techno | Chicago, for techno | New York, for house | Berlin, for garage
M | Which city gave its name to house music? | Chicago | Detroit | New York | Newark
H | Which singer's Hound Dog was first recorded by Big Mama Thornton? | Elvis Presley | Jerry Lee Lewis | Carl Perkins | Roy Orbison
H | Which guitarist of the 1950s played a Gibson and wrote Maybellene? | Chuck Berry | Bo Diddley | Muddy Waters | Bobby Bland
H | Which pianist from Georgia recorded Tutti Frutti in 1955? | Little Richard | Ray Charles | Fats Domino | Otis Spann
H | Which New Orleans pianist recorded Blueberry Hill? | Fats Domino | Professor Longhair | Dr. John | Allen Toussaint
H | Which Texas guitarist revived blues rock in the 1980s? | Stevie Ray Vaughan | Johnny Winter | Billy Gibbons | Eric Johnson
H | Which folk singer wrote This Land Is Your Land? | Woody Guthrie | Pete Seeger | Lead Belly | Cisco Houston
H | Which folk singer played banjo and helped revive American folk song? | Pete Seeger | Woody Guthrie | Burl Ives | Josh White
H | Which Nashville institution has broadcast country music since 1925? | The Grand Ole Opry | The Ryman only | The Bluebird Cafe | The Station Inn
H | Which Nashville hall honors country performers? | The Country Music Hall of Fame | The Grand Ole Opry Hall | The Ryman Hall | The Opryland Museum
H | Which singer's Coal Miner's Daughter told her own story? | Loretta Lynn | Dolly Parton | Tammy Wynette | Patsy Cline
H | Which country singer was known as the Hillbilly Shakespeare? | Hank Williams | Ernest Tubb | Lefty Frizzell | Roy Acuff
H | Which country outlaw recorded On the Road Again? | Willie Nelson | Waylon Jennings | Merle Haggard | Kris Kristofferson
H | Which annual show has honored country music since 1967? | The CMA Awards | The ACM Awards only | The Opry Awards | The Nashville Awards
H | Which term describes a record that sells one million copies in America? | Platinum | Gold | Diamond | Silver
H | Which term describes a record that sells five hundred thousand copies? | Gold | Platinum | Silver | Bronze
H | Which term describes a record that sells ten million copies? | Diamond | Platinum | Multi-platinum only | Crown
