# Geography — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Half the file is the United States, half is the rest of the world. That
# is what a general-knowledge deck looks like on this side of the Atlantic:
# a player who cannot place Wyoming has no business being asked about
# Burkina Faso first.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | geography
! name    | Geography
! icon    | globe.americas
! tint    | 0.26 0.55 0.80
! rank    | 0


# --- The fifty states: capitals ---

E | What is the capital of California? | Sacramento | Los Angeles | San Francisco | San Diego
M | In which lake can swimmers float without effort because of the salt? | The Dead Sea | The Caspian Sea | The Black Sea | Lake Baikal
M | Which country has the most people living in it? | India | China | The United States | Indonesia
M | Which country is made up of more than seventeen thousand islands? | Indonesia | The Philippines | Japan | Greece
M | Which peninsula holds Norway and Sweden? | Scandinavia | Iberia | The Balkans | Jutland
M | Which country is nicknamed the Land of the Rising Sun? | Japan | China | Thailand | South Korea
M | Which region of Europe includes Serbia, Bulgaria and Albania? | The Balkans | Scandinavia | Iberia | The Baltics
M | Which three countries are the Baltic states? | Estonia, Latvia, Lithuania | Finland, Estonia, Latvia | Latvia, Lithuania, Poland | Estonia, Sweden, Latvia
M | Which sea does the Volga River flow into? | The Caspian Sea | The Black Sea | The Baltic Sea | The Arctic Ocean
H | Which country is the world's largest producer of coffee? | Brazil | Colombia | Vietnam | Ethiopia
H | Which African country lies on both sides of the Equator and the Congo River? | The Democratic Republic of the Congo | Kenya | Uganda | Gabon
H | Which country was formerly known as Siam? | Thailand | Cambodia | Myanmar | Laos
H | Which country was formerly known as Persia? | Iran | Iraq | Turkey | Afghanistan
H | Which strait lies between Malaysia and Sumatra? | The Strait of Malacca | The Strait of Hormuz | The Sunda Strait | The Torres Strait

# --- More American geography ---

E | Which ocean lies east of Florida? | The Atlantic | The Pacific | The Indian | The Arctic
E | Which US state is closest to Russia? | Alaska | Washington | Hawaii | Maine
E | Which US state grows the most oranges? | Florida | California | Texas | Georgia
E | Which US state is famous for its potatoes? | Idaho | Iowa | Maine | Nebraska
E | Which US state has the most people? | California | Texas | Florida | New York
E | Which US state is entirely made of islands? | Hawaii | Alaska | Rhode Island | Florida
E | Which river runs from Minnesota to the Gulf of Mexico? | The Mississippi | The Missouri | The Ohio | The Colorado
E | Which mountain range crosses Colorado? | The Rockies | The Appalachians | The Sierra Nevada | The Ozarks
E | Which time zone covers New York and Miami? | Eastern | Central | Mountain | Pacific
E | Which US state is directly north of Texas? | Oklahoma | Kansas | Arkansas | New Mexico
E | Which US state lies directly south of Georgia? | Florida | Alabama | South Carolina | Tennessee
E | Which US city hosts the Kentucky Derby? | Louisville | Lexington | Frankfort | Cincinnati
M | Which six states make up New England? | Maine, NH, VT, MA, RI, CT | Maine, NH, VT, MA, NY, CT | NH, VT, MA, RI, CT, NJ | Maine, NY, MA, RI, CT, VT
M | How many time zones cover the contiguous United States? | Four | Three | Five | Six
M | Which river separates Ohio from Kentucky? | The Ohio | The Mississippi | The Wabash | The Tennessee
M | Which US state produces the most oil? | Texas | Alaska | California | North Dakota
M | Which region is called the Pacific Northwest? | Washington and Oregon | California and Nevada | Alaska and Washington | Oregon and Idaho
M | Which flat inland region stretches from Texas to North Dakota? | The Great Plains | The Great Basin | The Piedmont | The Gulf Coast
M | Which US state is nicknamed the Cornhusker State? | Nebraska | Iowa | Kansas | Illinois
M | Which US state is nicknamed the Land of Enchantment? | New Mexico | Arizona | Nevada | Colorado
M | Which US state is nicknamed the Volunteer State? | Tennessee | Kentucky | Virginia | Missouri
M | Which US state is nicknamed the Evergreen State? | Washington | Oregon | Maine | Vermont
M | Which US state is nicknamed the Pelican State? | Louisiana | Mississippi | Florida | Alabama
M | Which US state is nicknamed the Sooner State? | Oklahoma | Kansas | Texas | Nebraska
M | Which mountain is the highest in Washington State? | Mount Rainier | Mount Baker | Mount Adams | Mount Olympus
M | Which US state contains the Mojave and the Sierra Nevada? | California | Nevada | Arizona | Utah
M | Which bay lies between Maryland and Virginia? | Chesapeake Bay | Delaware Bay | Mobile Bay | Tampa Bay
H | Which US state is nicknamed the Old Line State? | Maryland | Virginia | Delaware | Pennsylvania
H | Which US state is nicknamed the Magnolia State? | Mississippi | Louisiana | Alabama | Georgia
H | Which US state is nicknamed the Granite State? | New Hampshire | Vermont | Maine | Massachusetts
H | Which US state is nicknamed the Silver State? | Nevada | Colorado | Montana | Idaho
H | Which US state is nicknamed the Badger State? | Wisconsin | Michigan | Minnesota | Illinois
H | Which US state is nicknamed the Palmetto State? | South Carolina | Georgia | Florida | North Carolina
H | Which US state is nicknamed the Green Mountain State? | Vermont | New Hampshire | Colorado | West Virginia
H | Which US state is nicknamed the First State? | Delaware | Virginia | Massachusetts | Pennsylvania
H | Which range separates California's Central Valley from Nevada? | The Sierra Nevada | The Cascades | The Coast Ranges | The Rockies
H | Which plateau covers much of Arizona and Utah? | The Colorado Plateau | The Columbia Plateau | The Ozark Plateau | The Edwards Plateau
H | Which US territory lies in the Caribbean? | Puerto Rico | Guam | American Samoa | The Northern Marianas
H | Which US territory lies in the western Pacific? | Guam | Puerto Rico | The Virgin Islands | Bermuda

# --- Weather and the seasons ---

E | Which season begins in the Northern Hemisphere in December? | Winter | Summer | Spring | Fall
E | What is a violent, funnel-shaped windstorm called? | A tornado | A hurricane | A monsoon | A blizzard
M | What is a hurricane called in the western Pacific? | A typhoon | A cyclone | A monsoon | A willy-willy
M | Which scale rates the strength of a tornado? | The Enhanced Fujita scale | The Richter scale | The Beaufort scale | The Saffir scale
M | Which scale rates the strength of a hurricane? | The Saffir-Simpson scale | The Fujita scale | The Richter scale | The Mercalli scale
M | Which region of the United States is called Tornado Alley? | The central Plains | The Gulf Coast | The Southwest | New England
M | What seasonal wind brings heavy summer rain to South Asia? | The monsoon | The trade wind | The chinook | The sirocco
H | Which Pacific warming pattern shifts weather worldwide? | El Nino | The Gulf Stream | The jet stream | The monsoon
H | What is the belt of calm near the Equator called? | The doldrums | The horse latitudes | The trade winds | The roaring forties
H | What warm, dry wind falls down the eastern Rockies in winter? | The chinook | The sirocco | The mistral | The harmattan

# --- A last handful, for openers ---

E | Which country lies across the English Channel from England? | France | Belgium | The Netherlands | Ireland
E | Which country is home to the Great Barrier Reef? | Australia | New Zealand | Indonesia | Fiji
E | Which is Earth's largest rainforest? | The Amazon | The Congo | The Daintree | The Taiga
E | On which continent is India? | Asia | Africa | Europe | Oceania
E | On which continent is Mexico? | North America | South America | Central America | Asia
E | Which is the smallest ocean? | The Arctic | The Indian | The Atlantic | The Southern
E | About how much of Earth's surface is covered by water? | Seventy percent | Fifty percent | Ninety percent | Thirty percent
E | Which US state lies between California and Utah? | Nevada | Arizona | Oregon | Idaho
E | Which country is known for windmills and tulips? | The Netherlands | Belgium | Denmark | Switzerland
E | Which sea lies between Great Britain and Norway? | The North Sea | The Baltic Sea | The Irish Sea | The Celtic Sea
E | Which US state is nicknamed Big Sky Country? | Montana | Wyoming | Idaho | North Dakota
