# Sports & Games — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Football, baseball, basketball and hockey first, the rest of the world
# after, and board and card games at the end.
#
# No current champions and no standing records. A deck that names whoever
# leads today is a deck that is wrong by next season, and nobody will write
# in to say so — they will simply stop trusting it. Rules, firsts and
# settled history only.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | sports
! name    | Sports & Games
! icon    | figure.run
! tint    | 0.88 0.52 0.24
! rank    | 4


# --- Football ---

E | How many players from one team are on the field in football? | Eleven | Ten | Twelve | Nine
H | Which card game gives points for melding sets and runs? | Rummy | Hearts | Cribbage | Whist
H | Which card game uses a pegboard to keep score? | Cribbage | Bridge | Canasta | Pinochle
H | Which tile game from China uses suits of bamboo, circles and characters? | Mahjong | Dominoes | Shogi | Pachisi
H | Which Indian board game inspired the Western game of Parcheesi? | Pachisi | Chaturanga | Snakes and Ladders | Carrom
H | Which ancient game is considered an ancestor of chess? | Chaturanga | Senet | Go | Backgammon
H | Which puzzle asks players to fill a nine-by-nine grid with digits? | Sudoku | Kakuro | Nonogram | Crossword
H | Which cube puzzle has six colored faces and turning layers? | The Rubik's Cube | The Soma cube | The Pyraminx | The Tower of Hanoi
H | Which word puzzle appeared first in a New York newspaper in 1913? | The crossword | The acrostic | The cryptogram | The word search

# --- More openers ---

E | Which sport is played on a court divided by a high net over which a ball is spiked? | Volleyball | Tennis | Badminton | Squash
E | Which sport is contested on a track by horses and jockeys? | Horse racing | Polo | Rodeo | Dressage
E | Which sport is contested on skis down a marked mountain course? | Alpine skiing | Snowboarding | Bobsled | Luge
E | Which winter sport sends a team down an icy track in a sled? | Bobsled | Curling | Ski jumping | Speed skating
E | Which winter sport has skaters perform jumps and spins to music? | Figure skating | Speed skating | Hockey | Curling
E | Which sport features a pommel horse and rings? | Gymnastics | Weightlifting | Wrestling | Fencing
E | Which sport is contested in a ring with three-minute rounds and gloves? | Boxing | Wrestling | Fencing | Judo
E | Which sport has surfers ride waves standing on a board? | Surfing | Windsurfing | Kayaking | Rowing
E | Which sport uses a board with bindings on snow? | Snowboarding | Skateboarding | Surfing | Waterskiing
E | Which sport uses a board with four wheels on pavement? | Skateboarding | Snowboarding | Rollerblading | Surfing
E | Which sport pairs a rider and a horse over a course of jumps? | Show jumping | Polo | Rodeo | Dressage
E | Which sport sends teams down a river in inflatable boats? | Whitewater rafting | Rowing | Canoeing | Sailing
E | Which sport uses oars and a narrow boat with a coxswain? | Rowing | Sailing | Kayaking | Canoeing
E | Which sport has climbers ascend rock faces with ropes and harnesses? | Rock climbing | Caving | Hiking | Bouldering only
E | Which sport uses a small hard ball hit against a front wall in an enclosed court? | Squash | Tennis | Badminton | Handball
M | Which sport combines a horse, a mallet and a ball on a grass field? | Polo | Croquet | Cricket | Hurling
M | Which sport features a scrum and a try? | Rugby | Football | Soccer | Lacrosse
M | Which sport is Ireland's fastest field game, played with a stick and a small ball? | Hurling | Gaelic football | Camogie | Shinty
M | Which sport is played on a diamond with an underhand pitch and a larger ball? | Softball | Baseball | Cricket | Kickball
M | Which sport has athletes throw an opponent using holds on a mat? | Wrestling | Boxing | Fencing | Karate
M | Which martial art from Japan uses throws and grappling in a white uniform? | Judo | Karate | Aikido | Kendo
M | Which martial art from Korea emphasizes high kicks and is an Olympic sport? | Taekwondo | Karate | Judo | Kung fu
M | Which sport is played on horseback in an arena with barrels and roping? | Rodeo | Polo | Dressage | Steeplechase
M | Which sport sends athletes down a track feet first on a small sled? | Luge | Skeleton | Bobsled | Ski cross
M | Which sport sends athletes down a track head first on a small sled? | Skeleton | Luge | Bobsled | Snowboard cross

# --- The Olympic record book ---

E | What are the three Olympic medals? | Gold, silver and bronze | Gold, silver and copper | Platinum, gold and silver | Gold, bronze and iron
E | What is carried by relay to open the Olympic Games? | The torch | The flag | The wreath | The oath
M | Which US city hosted the 1984 Summer Olympics? | Los Angeles | Atlanta | New York | Chicago
M | Which US city hosted the 1996 Summer Olympics? | Atlanta | Los Angeles | Seattle | Miami
M | Which US city hosted the 1904 Summer Olympics? | St. Louis | Chicago | Philadelphia | Boston
M | Which US town hosted the Winter Olympics twice, in 1932 and 1980? | Lake Placid | Squaw Valley | Salt Lake City | Aspen
M | Which US city hosted the 2002 Winter Olympics? | Salt Lake City | Denver | Lake Placid | Anchorage
M | Which city hosted the 1964 Summer Olympics, the first in Asia? | Tokyo | Seoul | Beijing | Osaka
M | Which city hosted the 1968 Summer Olympics at high altitude? | Mexico City | Bogota | La Paz | Quito
H | Which city hosted the 1972 Summer Olympics? | Munich | Montreal | Moscow | Melbourne
H | Which city hosted the 1980 Summer Olympics, boycotted by the United States? | Moscow | Montreal | Munich | Mexico City
H | Which city hosted the 1992 Summer Olympics? | Barcelona | Seoul | Atlanta | Sydney
H | Which city hosted the 2000 Summer Olympics? | Sydney | Athens | Barcelona | Melbourne
H | Which Olympic ceremony includes an athlete's oath and the parade of nations? | The opening ceremony | The closing ceremony | The medal ceremony | The torch lighting
H | Which Olympic sport was contested at the ancient Games and returned in 1896? | The discus | The javelin only | Basketball | Rowing
H | Which committee governs the Olympic movement? | The International Olympic Committee | The World Games Council | FIFA | The Olympic Federation

# --- College and school sports ---

M | Which federal law of 1972 required equal opportunity in school sports? | Title IX | The Civil Rights Act | The Amateur Sports Act | The Education Act
M | Which organization governs most American college athletics? | The NCAA | The NAIA | The AAU | The USOC
M | Which round of the NCAA basketball tournament is called the Sweet Sixteen? | The round of sixteen | The quarterfinals | The first round | The semifinals
M | How many teams reach the round called the Elite Eight? | Eight | Sixteen | Four | Thirty-two
H | Which conference is known as the SEC? | The Southeastern Conference | The Southern Eastern Conference | The Southwest Conference | The Sunbelt Conference
H | Which conference is known as the ACC? | The Atlantic Coast Conference | The American Coastal Conference | The Athletic Central Conference | The Allied College Conference
H | Which group of eight private northeastern colleges shares an athletic league? | The Ivy League | The Patriot League | The Colonial League | The Little Three
H | Which award honors the best college basketball player named for the sport's inventor? | The Naismith Trophy | The Wooden Award | The Rupp Trophy | The Cousy Award
H | Which annual event lets NFL teams select college players? | The NFL Draft | The combine | The scouting fair | The showcase
H | Which spring event tests college prospects with drills before the draft? | The scouting combine | The pro day only | The senior showcase | The talent camp

# --- Terms, gear and the rest ---

E | What does a referee use to stop play in most team sports? | A whistle | A bell | A flag only | A horn
E | What piece of gear protects a hockey goaltender's face? | A mask | A visor only | Goggles | A shield cap
E | What piece of gear does a baseball catcher wear on the hand? | A mitt | A glove with fingers | A pad | A wrap
E | What surface is a tennis court at Wimbledon made of? | Grass | Clay | Hard court | Carpet
E | How many holes are played in a typical round of golf on the front nine? | Nine | Eighteen | Twelve | Six
E | What do we call the person who trains and directs a team? | The coach | The manager only | The captain | The trainer
E | What do we call a game that ends with the same score for both teams? | A tie | A forfeit | A draw round | A void
E | What do we call the extra time played to break a tie? | Overtime | Injury time only | The tiebreak round | The playoff period
M | What do we call a player brought on to replace another? | A substitute | A reserve only | A backup call | A relief starter
M | What do we call the first game of a season? | The season opener | The kickoff classic | The debut round | The curtain game
M | What do we call the series of games that decides a champion? | The playoffs | The regular season | The preseason | The exhibition round
M | What do we call a game played before the season counts? | A preseason game | A playoff game | A bye | A scrimmage only
M | What do we call a week in which a team does not play? | A bye | A break | A rest round | A layoff
M | What do we call the right to choose players in order of finish? | The draft | The waiver | The trade window | The lottery pick only
M | What do we call moving a player from one team to another for value? | A trade | A draft | A waiver claim only | A loan
M | What do we call a player free to sign with any team? | A free agent | A draftee | A waiver | A rookie
M | What do we call a first-year professional player? | A rookie | A prospect | A journeyman | A veteran
H | What do we call the statistic counting assists in soccer and hockey? | Assists | Points only | Helpers only | Setups
H | What do we call the pace at which a basketball team plays? | Tempo | Rhythm | Cadence | Flow rate
H | What do we call a defense that assigns each player an opponent? | Man-to-man | Zone | Press | Trap
H | What do we call a defense that assigns each player an area? | Zone | Man-to-man | Switch | Help side
H | What do we call pressure applied over the whole court in basketball? | A full-court press | A half-court trap | A run and jump | A box and one

# --- More sports around the world ---

E | Which sport is the most watched in the world? | Soccer | Basketball | Cricket | Tennis
E | Which sport is played on a wicket with bowlers and batters? | Cricket | Baseball | Rounders | Stoolball
M | How many players are on a cricket team? | Eleven | Nine | Ten | Twelve
M | What is it called when a cricket bowler takes three wickets in three balls? | A hat trick | A maiden | A duck | A century
M | What is a batter's score of one hundred runs in cricket called? | A century | A ton mark | A double | A maiden
M | What is a batter's score of zero in cricket called? | A duck | A blank | A nought round | A love
M | Which country invented rugby, according to tradition? | England | Wales | New Zealand | Ireland
M | How many players are on a rugby union team? | Fifteen | Thirteen | Eleven | Twenty
M | How many points is a try worth in rugby union? | Five | Three | Six | Four
M | Which Australian sport is played on an oval field with four posts at each end? | Australian rules football | Rugby league | Gaelic football | Touch football
M | Which sport does the Ashes series belong to? | Cricket | Rugby | Sailing | Lawn bowls
H | Which country's national sport is sumo wrestling? | Japan | Mongolia | Korea | China
H | Which sport is played in a fronton with a curved basket strapped to the arm? | Jai alai | Squash | Handball | Pelota only
H | Which sport features a peloton and a time trial? | Cycling | Marathon running | Cross-country skiing | Rowing
H | Which cycling race is Italy's grand tour? | The Giro d'Italia | The Tour de France | The Vuelta | Milan-San Remo
H | Which sport is the national game of Canada in summer by law? | Lacrosse | Hockey | Curling | Baseball
H | Which sport is the national game of Canada in winter by law? | Hockey | Lacrosse | Curling | Skiing
H | Which sport contests the Davis Cup? | Tennis | Golf | Sailing | Rugby
H | Which sport contests the America's Cup? | Sailing | Rowing | Swimming | Powerboating
H | Which sport contests the Cricket World Cup every four years? | Cricket | Field hockey | Netball | Rugby league

# --- More openers ---

E | Which sport uses a shuttlecock over a high net? | Badminton | Volleyball | Tennis | Table tennis
E | Which sport uses a small ball and paddles on a table? | Table tennis | Badminton | Squash | Racquetball
E | Which sport features a balance beam routine? | Gymnastics | Diving | Figure skating | Trampolining only
E | Which sport features a triple axel? | Figure skating | Gymnastics | Diving | Freestyle skiing
E | Which sport is contested on a course of gates down a snowy slope? | Slalom skiing | Ski jumping | Cross-country skiing | Snowboarding
E | Which sport features a caddie? | Golf | Tennis | Bowling | Cricket
E | Which sport features a coxswain? | Rowing | Sailing | Canoeing | Swimming
E | Which sport features a bullpen? | Baseball | Football | Rodeo | Polo
E | Which sport features a power play? | Hockey | Baseball | Golf | Tennis
E | Which sport features a love game? | Tennis | Bowling | Darts | Squash
E | Which sport features a birdie on the scorecard? | Golf | Badminton | Archery | Shooting
E | Which sport features a scrum half? | Rugby | Football | Soccer | Cricket
E | Which sport features a designated hitter? | Baseball | Softball | Cricket | Football
E | Which sport features a point guard? | Basketball | Football | Hockey | Volleyball
H | Which sport features a hat trick, a power play and a face-off circle? | Hockey | Soccer | Lacrosse | Water polo
